"rank","name","country","starting_number","total_segment_score","total_element_score","total_component_score","deductions","type","category","base_value","highlight","goe","factor","j1","j2","j3","j4","j5","j6","j7","j8","j9","scores_of_panel"
9,"GEDEVANISHVILI Elene","GEO",16,61.92,35.8,26.12,NA,"ee","CCoSp4",3.5,0,0.4,NA,"0.5","1","0.5","0.5","0","0","0.5","0.5","0",3.9
9,"GEDEVANISHVILI Elene","GEO",16,61.92,35.8,26.12,NA,"ee","SlSt3",3.3,0,0.8,NA,"1","0.5","1","1","0.5","0.5","1","1","0.5",4.1
9,"GEDEVANISHVILI Elene","GEO",16,61.92,35.8,26.12,NA,"ee","FSSp4",3,0,0.1,NA,"0.5","0","0","0","0","0","0","0","0.5",3.1
9,"GEDEVANISHVILI Elene","GEO",16,61.92,35.8,26.12,NA,"pc","Skating Skills",NA,NA,NA,0.8,"6.75","6.75","6.50","6.50","6.50","6.75","6.50","6.50","7.00",6.6
9,"GEDEVANISHVILI Elene","GEO",16,61.92,35.8,26.12,NA,"pc","Transitions / Linking Footwork",NA,NA,NA,0.8,"6.25","6.50","6.25","6.00","5.25","6.50","5.25","6.25","6.50",6.05
9,"GEDEVANISHVILI Elene","GEO",16,61.92,35.8,26.12,NA,"pc","Performance / Execution",NA,NA,NA,0.8,"7.00","7.00","6.75","6.75","6.25","6.50","6.00","6.75","7.25",6.75
9,"GEDEVANISHVILI Elene","GEO",16,61.92,35.8,26.12,NA,"pc","Choreography / Composition",NA,NA,NA,0.8,"6.75","6.75","6.50","6.50","5.75","6.75","6.25","6.50","7.00",6.55
9,"GEDEVANISHVILI Elene","GEO",16,61.92,35.8,26.12,NA,"pc","Interpretation",NA,NA,NA,0.8,"7.00","7.00","6.75","6.25","6.50","6.75","6.00","6.50","7.50",6.7
9,"GEDEVANISHVILI Elene","GEO",16,61.92,35.8,26.12,0,"ded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,",LEPISTO Laura","FIN",21,61.36,32.88,28.48,NA,"ee","3T+2T",5.3,0,1,NA,"1","1","2","1","1","1","2","1","1",6.3
10,",LEPISTO Laura","FIN",21,61.36,32.88,28.48,NA,"ee","3Lo",5,0,1,NA,"0","1","0","1","1","1","1","1","1",6
10,",LEPISTO Laura","FIN",21,61.36,32.88,28.48,NA,"ee","FSSp4",3,0,0.5,NA,"0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","1",3.5
10,",LEPISTO Laura","FIN",21,61.36,32.88,28.48,NA,"ee","LSp3",2.4,0,0.5,NA,"0.5","0.5","0.5","0.5","0.5","0.5","0.5","0","0.5",2.9
